,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_reg_alpha,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,mean_train_score,std_train_score
6,13.807525646686553,0.40265312434725076,0.05821425914764404,0.009040614519547902,0.45,8,750,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8924870466321244,0.9140085276338515,0.8798575129533679,0.8605623920552677,0.8355731865284974,0.8874946027633851,0.9154253022452504,0.8899773316062176,0.8641825598059751,0.9244846213206923,0.9212600595303716,0.8600209458714585,0.8989086098555837,0.841913791202734,0.8787619887553743,0.9166045754339488,0.8941965394486299,0.906780362612799,0.8999641250655408,0.9213787013273725,0.89018395291385,0.025988603148557287,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,16.555185651779176,0.09521166308474534,0.06377913951873779,0.003007140726789672,0.45,10,750,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 750, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.8962381260794474,0.899449481865285,0.8789939550949913,0.8612640328151985,0.8362478411053541,0.8984509930915372,0.9083549222797928,0.8924060880829014,0.8563002976518577,0.9261933634659906,0.9182835409546909,0.8591665747988092,0.9119170984455959,0.8207749972439643,0.8917980377025686,0.9176532273642962,0.9016612854264978,0.905648922372161,0.901399122443911,0.9182327455363304,0.8900129885623401,0.028216114709917334,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,5.301067805290222,0.11597363759554129,0.021344947814941406,0.0005487552803052892,0.45,9,250,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 250, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.9006368739205527,0.9119440846286702,0.8810179188255612,0.8654738773747841,0.8345207253886011,0.9095153281519862,0.9075048575129533,0.883419689119171,0.8620328519457612,0.9279021056112888,0.916740160952486,0.8621706537316723,0.9036489912909271,0.8324054679748649,0.8895380884136259,0.9018958523056545,0.8917404862433423,0.9100642989209924,0.8876838590391037,0.9160526533653448,0.8897903878196027,0.026009481001650972,13,0.9999985602461221,0.9999976509278835,0.9999971962687642,0.9999968931626846,0.9999946956436079,0.999997272045284,0.9999995453408806,0.9999988633522017,0.9999981076895699,0.9999940959914583,0.9999971236881464,0.9999997729227483,0.9999993187682451,0.9999983347668217,0.9999956098398023,0.9999957615136966,0.9999976536950821,0.9999969725097834,0.9999931881470124,0.9999976536950821,0.999997213510744,1.7422129533030628e-06
11,5.49661375284195,0.2504656913245453,0.02148923873901367,0.0007631801225628443,0.45,9,250,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 250, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.9034704231433506,0.9111344991364421,0.874190414507772,0.8666882556131261,0.8224579015544041,0.9030656303972366,0.9126727115716754,0.8826370898100173,0.8565483408664977,0.9270752948958219,0.9145077720207254,0.8537647447910925,0.9081688898688127,0.8335905633337009,0.8855418366222025,0.9030548886497227,0.9017578717885034,0.9153903468830202,0.8981151861357177,0.9219858156028369,0.8897827837171142,0.028901246282932874,14,0.9999971962687642,0.9999989391287216,0.9999984086930824,0.9999973478218039,0.9999969689392044,0.9999976509278835,0.9999990906817613,0.9999939378784091,0.9999990159985763,0.9999922793734454,0.9999962910715572,0.999997350765398,0.9999984104592388,0.9999979563047355,0.99999810768957,0.9999996215637229,0.9999982591931255,0.9999984105676363,0.9999992431274458,0.9999970481970388,0.9999975767325558,1.7322069681741332e-06
17,15.05601853132248,0.13447846172062916,0.059856963157653806,0.00425090858092741,0.45,9,750,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.8984779792746114,0.9104328583765112,0.8692519430051814,0.8614394430051814,0.8329150474956821,0.8945110103626943,0.911323402417962,0.8932966321243524,0.8527312313967589,0.9294730459706757,0.9236026898908609,0.8525796494322565,0.9072869584389814,0.8242476022489251,0.8853351339433359,0.9155007312967409,0.9000745094792615,0.9084223307668957,0.9048486353726855,0.9150040014349974,0.8895291465894102,0.029609265868382046,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,9.146339440345765,0.2487044877405086,0.03748706579208374,0.0024896181956425662,0.45,8,500,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.900070164075993,0.9074373920552677,0.8771454015544041,0.8595369170984455,0.8280440414507771,0.895293609671848,0.9067897236614852,0.8920552677029361,0.8597453422996362,0.9298313306140447,0.920956895601367,0.8540127880057325,0.9061845441516923,0.8389648329842354,0.89317605556168,0.9131826586086045,0.900571239341005,0.9055109418550101,0.8886359246074454,0.9097055495763998,0.8893352514420297,0.02697876345886015,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,16.55579881668091,0.14518512430949035,0.06443021297454835,0.003607540680809246,0.45,10,750,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 750, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8968318221070812,0.9033354922279793,0.8763493091537132,0.8568787780656304,0.8403362478411054,0.8951316925734024,0.9057102763385146,0.894686420552677,0.8545364347921949,0.9219215081027451,0.9188898688126997,0.8468884356741263,0.910621761658031,0.8326397310109139,0.8900203946643148,0.9129480917294479,0.8979082153599911,0.89985374065182,0.9070563236471011,0.919888511742142,0.8891133662087312,0.02721193124642114,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,15.01828429698944,0.11187931896281708,0.05919677019119263,0.0023629793663317027,0.45,9,750,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8974794905008634,0.9109995682210708,0.8792638169257341,0.8626943005181347,0.8395671416234888,0.9021211139896372,0.9037672711571676,0.8890598013816926,0.8513945540734208,0.9277643038253776,0.919523757027891,0.8617296880167566,0.9038970345055672,0.8212986440304267,0.889427846984897,0.9147280404006956,0.8962386511024644,0.9017440737367884,0.898584319894031,0.9110853547479095,0.8891120427807033,0.027414396304342586,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,4.7792224287986755,0.2178024346883614,0.02050238847732544,0.0020422999681110367,0.45,8,250,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 250, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8973040803108809,0.9120250431778929,0.8861992659758204,0.8574589810017272,0.8229706390328152,0.8917854058721933,0.9164237910189983,0.8799384715025907,0.8708521662440746,0.91963399845662,0.9173740491676772,0.8550876419358394,0.8957391687796274,0.849851174071216,0.8805258516150369,0.9159146728481938,0.8926235615531086,0.912409967712559,0.8864696304881751,0.920302453293595,0.8890365199844976,0.026411298529077865,19,0.9999571104897436,0.9999117203543311,0.9999809043169883,0.9999552918532664,0.9999575651488629,0.9999590049027409,0.9999646881417323,0.9999562769480249,0.9999606399430551,0.9999503457743157,0.9999560227056058,0.9999151109541082,0.9999717667283838,0.9999806227411964,0.9999763839658331,0.99994732167023,0.9999333195279779,0.9999523170290875,0.9999495922878926,0.9999310489103154,0.9999533527196848,1.8428525044185206e-05
13,10.359723472595215,0.2808293845460287,0.04627358913421631,0.02402056376531107,0.45,9,500,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.9047117875647668,0.9119710708117444,0.8728411053540587,0.8612910189982729,0.8232674870466321,0.8978033246977547,0.9065738341968912,0.880275798791019,0.8639069562341528,0.9300242531143204,0.9131848748759783,0.8599107044427297,0.9117241759453203,0.8355473486936391,0.8853351339433359,0.9070287275436708,0.9002952783067032,0.9031652730634435,0.8954935563098492,0.9161906338824958,0.8890191504330278,0.027527867050810853,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
