,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_reg_alpha,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,mean_train_score,std_train_score
18,11.379221260547638,0.07790604758493744,0.043974661827087404,0.0010115351535161556,0.45,10,500,0.025,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.025, 'silent': 1, 'subsample': 0.95}",0.9013385146804835,0.9013655008635578,0.8810718911917099,0.8622085492227979,0.8356001727115717,0.9046038428324698,0.9103653929188256,0.9048467184801381,0.8622257744460368,0.9226105170323007,0.9194135155991622,0.8536269430051814,0.9150038584500055,0.8324468085106382,0.8923216844890309,0.9178464000883075,0.8923476005188068,0.899715760134669,0.9044898860280929,0.9088224742666335,0.8911077816725959,0.026739681893940367,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,10.178832614421845,0.08211188012864924,0.03975081443786621,0.0003074715361510795,0.45,9,500,0.03,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.03, 'silent': 1, 'subsample': 0.95}",0.899449481865285,0.9057642487046632,0.8780764248704663,0.8613314982728842,0.830769645941278,0.8998407815198618,0.9073294473229707,0.8917314335060449,0.8488590012126557,0.9339102634770147,0.9151692205930989,0.8530206151471723,0.9032080255760114,0.8351063829787234,0.8967589019953699,0.9113613157822115,0.9027237354085603,0.9164114027099373,0.902116621133096,0.9140657339183708,0.8903414538947916,0.028377512262276944,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,10.19482855796814,0.10132499385763026,0.03980706930160523,0.0007647084108676466,0.45,9,500,0.025,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.025, 'silent': 1, 'subsample': 0.95}",0.8915155440414508,0.903821243523316,0.882205310880829,0.8660405872193436,0.8350604490500864,0.9032815198618307,0.9083549222797928,0.8911107512953368,0.8578712380112445,0.9279021056112888,0.9180906184544152,0.8647613273068019,0.9018024473597178,0.8341968911917098,0.884494543049278,0.9031100808565831,0.897176918619091,0.9124375638159893,0.8974252835499628,0.9217926428788256,0.890115218623709,0.025819257835636256,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,10.164265894889832,0.04189512256227818,0.03998055458068848,0.0004599186247229171,0.45,9,500,0.035,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.035, 'silent': 1, 'subsample': 0.95}",0.9047387737478412,0.9153173575129534,0.8775906735751295,0.8531951640759932,0.838271804835924,0.9040641191709845,0.9048737046632124,0.8935125215889465,0.8581192812258847,0.9245673023922389,0.9127439091610626,0.8669937162385625,0.90640502700915,0.8287675008268107,0.8833370080476243,0.9187294753980738,0.8995225874106576,0.9090432430940751,0.8881805889008472,0.9047934431658251,0.8896324014681946,0.02673494344601897,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,11.33741374015808,0.0686634556864959,0.04364833831787109,0.0007021733950856803,0.45,10,500,0.03,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.03, 'silent': 1, 'subsample': 0.95}",0.8974525043177894,0.9035513816925733,0.8811258635578584,0.8579447322970639,0.8401338514680484,0.8989097582037997,0.9104598445595855,0.8937823834196891,0.854302171756146,0.9191103516701575,0.9113107705875868,0.8515047955021496,0.9061018630801455,0.8315786572593982,0.8941406680630581,0.9150315975384276,0.8982531666528687,0.9081325716808787,0.8969561497916494,0.9209371636724895,0.8895284094351418,0.02656729094112028,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,13.469951403141021,0.44324820767632017,0.047306597232818604,0.008166977510930753,0.5,10,500,0.035,1,0.95,"{'colsample_bytree': 0.5, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.035, 'silent': 1, 'subsample': 0.95}",0.8883581606217616,0.9057102763385146,0.8750269861830743,0.8551651554404145,0.8436960276338514,0.8908543825561313,0.9065468480138169,0.9018512521588946,0.8614403042663433,0.9279572263256533,0.9139014441627163,0.8496582515709403,0.9049718884356741,0.8268933965384191,0.8878293462683277,0.9192262052598174,0.8976184562739742,0.9012887380301902,0.9100918950244226,0.9135138118497669,0.8890713491638145,0.02728704786617638,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,8.898197257518769,0.0598289307921304,0.04281003475189209,0.007303911628973902,0.45,8,500,0.025,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.025, 'silent': 1, 'subsample': 0.95}",0.8920552677029361,0.9089486183074266,0.881692573402418,0.8564874784110537,0.8306077288428325,0.8913536269430052,0.9068167098445596,0.8917044473229705,0.8610682394443832,0.926965053467093,0.9197718002425311,0.8597177819424541,0.909519347370742,0.8342795722632566,0.8844394223349135,0.9116372768165135,0.9046002704418136,0.9079669950602975,0.8886773187625908,0.9123823716091288,0.8890264950713879,0.026817793843594735,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,21.497720670700073,0.21748026659906722,0.08301515579223633,0.0038926106678359783,0.45,10,1000,0.025,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 1000, 'reg_alpha': 0.025, 'silent': 1, 'subsample': 0.95}",0.8966564119170984,0.9013655008635578,0.8785082037996546,0.8613449913644214,0.8347636010362695,0.8963190846286702,0.9063444516407599,0.9012575561312608,0.8580779406901113,0.9219628486385183,0.921563223459376,0.8537371844339103,0.9104012788005733,0.8221116745673024,0.892073641274391,0.9195297623975495,0.89422413555206,0.8936860115351714,0.9076496398708502,0.9078704086982917,0.8889654608043621,0.02784468621453161,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,11.34682446718216,0.07714003493783378,0.04387552738189697,0.0008717484288708258,0.45,10,500,0.035,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.035, 'silent': 1, 'subsample': 0.95}",0.9025259067357513,0.9100280656303972,0.8686852331606219,0.8538698186528496,0.8327396373056996,0.898019214162349,0.904630829015544,0.8975604490500865,0.852731231396759,0.9215907838165582,0.913488038804983,0.8616056664094367,0.9077830448682616,0.8251846543931209,0.8818211884026017,0.9218754311891161,0.900709219858156,0.9095399729558187,0.8952727874824076,0.918619090984353,0.8889051809248834,0.028807788955877937,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,13.50502804517746,0.4795662122024497,0.045317995548248294,0.0025086919666868265,0.5,10,500,0.025,1,0.95,"{'colsample_bytree': 0.5, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.025, 'silent': 1, 'subsample': 0.95}",0.8882232297063903,0.9015274179620035,0.8786971070811744,0.8598607512953369,0.8370574265975821,0.8985589378238342,0.9091105354058722,0.8896534974093263,0.8528828133612613,0.9221971116745673,0.9155550655936502,0.8540127880057325,0.903015103075736,0.8359331936941903,0.887278139124683,0.9126583326434308,0.9000469133758314,0.901123161409609,0.9082153599911693,0.9157766923310428,0.888560582217369,0.026047855958698928,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
