,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_reg_alpha,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,mean_train_score,std_train_score
18,5.883065414428711,0.13247913265601663,0.02385988235473633,0.0005008419396214139,0.45,10,250,0.045,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 250, 'reg_alpha': 0.045, 'silent': 1, 'subsample': 0.95}",0.903416450777202,0.9071945164075993,0.8858214594127807,0.8633689550949915,0.8363557858376511,0.9124838082901554,0.906357944732297,0.8932156735751295,0.8676276044537538,0.9176496527394995,0.9144250909491787,0.8632730680189616,0.906515268437879,0.8284367765406239,0.8849217285856025,0.9050694042001269,0.8970941303088004,0.9127963131605817,0.8980323978254271,0.9172116897094131,0.8910575763027004,0.02560202634071649,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999243075828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999996215379,1.6496779873355424e-08
9,5.234263348579407,0.06540895025692613,0.021303844451904298,0.0002930116963449762,0.45,9,250,0.045,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 250, 'reg_alpha': 0.045, 'silent': 1, 'subsample': 0.95}",0.9076802677029361,0.9112694300518135,0.8840943436960277,0.8666342832469774,0.8347096286701209,0.9127806563039724,0.9046848013816926,0.8884391191709845,0.8652298533788998,0.9276540623966486,0.9133226766618896,0.8620466321243524,0.9015819645022599,0.841789769595414,0.8891798037702567,0.9131274664017441,0.8907194304164252,0.9075530535088446,0.8863868421778845,0.91114054695477,0.8909968588715169,0.0247403449298,2,0.9999983329165625,0.9999971962687642,0.9999996968939204,0.9999988633522017,0.9999985602461222,0.9999981055870028,0.9999963627270454,0.9999982571400426,0.9999979563047355,0.999995836917054,0.9999977292274839,0.9999975778426495,0.9999991673834108,0.9999978049199011,0.9999993944606623,0.9999980321313592,0.9999982591931255,0.9999981078186146,0.999999091752935,0.9999974266333159,0.9999980879858457,9.26737986251286e-07
11,5.201458477973938,0.038697147638808646,0.021501147747039796,0.00043541800490155363,0.45,9,250,0.055,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 250, 'reg_alpha': 0.055, 'silent': 1, 'subsample': 0.95}",0.9016353626943004,0.9098121761658031,0.8778065630397237,0.869521804835924,0.8310125215889463,0.9097851899827288,0.9124838082901554,0.8948618307426598,0.8550876419358395,0.9159409105942014,0.9255319148936171,0.8544813140778303,0.9004795502149708,0.8395711608422445,0.8897861316282659,0.9054833457515798,0.8997985484449595,0.9127135248502911,0.8940585589314789,0.9144244832629632,0.8907082198329662,0.026478204081539808,3,0.9999995453408806,0.9999962869505256,0.999999318011321,0.9999960596209658,0.9999963627270454,0.999999318011321,0.9999978782574431,0.999998636022642,0.999998864613742,0.9999976535350668,0.9999971993805635,0.9999990916909935,0.9999989403061591,0.9999987889213248,0.9999995458454968,0.9999969725097834,0.9999993188147013,0.9999983348803808,0.9999955344519305,0.9999984862548916,0.9999981068073589,1.2500591726911507e-06
12,10.185345137119294,0.07290175820006134,0.040477454662323,0.0010384089124290028,0.45,9,500,0.045,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.045, 'silent': 1, 'subsample': 0.95}",0.9010686528497409,0.9006368739205527,0.878454231433506,0.8646373056994818,0.8326316925734025,0.9072215025906736,0.9075993091537133,0.8982890759930915,0.8598280233711829,0.9297624297210891,0.9199371623856246,0.8648715687355308,0.8995700584279572,0.8409629588799471,0.8940579869915114,0.9162182299859261,0.8886773187625907,0.9061732483373348,0.8925959654496786,0.9086568976460524,0.8905868138116441,0.025309010028982403,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,5.817093086242676,0.04285861799276292,0.023802340030670166,0.0005663878904592427,0.45,10,250,0.05,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 250, 'reg_alpha': 0.05, 'silent': 1, 'subsample': 0.95}",0.9026608376511226,0.9042800086355786,0.8826910621761658,0.8776176597582037,0.8380289291882556,0.904333981001727,0.9060610967184801,0.9011765975820379,0.8562176165803108,0.9228309998897586,0.9173740491676772,0.8513394333590563,0.9113658913019513,0.8327361922610518,0.8858174401940249,0.8974528796533929,0.9015922951679223,0.9136241962634877,0.8946104810000828,0.909871126196981,0.8905797406392872,0.025724328844840185,5,1.0,0.9999997726704404,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999243075828,1.0,1.0,1.0,1.0,0.9999998486151656,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999772796594,5.916128856585932e-08
21,11.451013159751891,0.1274142409979109,0.04382854700088501,0.0004922001743265335,0.45,10,500,0.045,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.045, 'silent': 1, 'subsample': 0.95}",0.903821243523316,0.9043069948186528,0.8799114853195165,0.8560017271157168,0.8330634715025906,0.9010416666666666,0.9032275474956821,0.8942141623488774,0.8598280233711829,0.9253389923933415,0.9140116855914452,0.8655881380222689,0.9118895380884137,0.8293738286848197,0.885459155550656,0.9124375638159892,0.9012059497198996,0.9047382509589647,0.9061732483373349,0.9173220741231338,0.890439336469031,0.026989496939623964,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,11.964300775527954,0.733579385055714,0.05684963464736938,0.023655008353128084,0.45,10,500,0.05,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.05, 'silent': 1, 'subsample': 0.95}",0.9004749568221072,0.8972366148531952,0.8776311528497409,0.8704528281519862,0.8360049654576857,0.8970477115716753,0.9057642487046633,0.9046038428324698,0.8553632455076619,0.922886120604123,0.9163543159519347,0.8537371844339102,0.9163818763091169,0.8284643368978062,0.8891798037702568,0.9076910340259956,0.9071667080608218,0.90689074702652,0.9039379639594889,0.9113337196787813,0.890422899487052,0.026867675416963686,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,10.194844174385072,0.054667464587792966,0.040533149242401124,0.0009618005489104019,0.45,9,500,0.055,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.055, 'silent': 1, 'subsample': 0.95}",0.9001781088082902,0.9078286917098445,0.8781573834196891,0.8602115716753022,0.8404306994818653,0.9023370034542314,0.9108646373056994,0.8899233592400692,0.8459651637085217,0.922638077389483,0.923602689890861,0.8575956344394223,0.907479880939257,0.8396814022709734,0.8902270973431815,0.9114717001959324,0.9007920081684466,0.906780362612799,0.8972873030328117,0.9134862157463366,0.8903401786826334,0.026436128473251285,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,13.13534630537033,0.3993147644809925,0.048464083671569826,0.00961404424529063,0.45,10,500,0.055,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.055, 'silent': 1, 'subsample': 0.95}",0.8986938687392056,0.9016353626943004,0.8787780656303973,0.8577288428324698,0.837462219343696,0.8927299222797928,0.9099471070811744,0.8941062176165804,0.8602965494432807,0.92420901774887,0.9140668063058098,0.8543710726491015,0.9090232609414618,0.8311928122588469,0.8898412523426305,0.9131826586086045,0.9003642685652785,0.9121340066782571,0.9036068107183266,0.9193641857769683,0.890127682850318,0.026892582209338677,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,5.813816809654236,0.04252844508112207,0.02387890815734863,0.0005509684754882302,0.45,10,250,0.055,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 250, 'reg_alpha': 0.055, 'silent': 1, 'subsample': 0.95}",0.9063849309153712,0.9100280656303973,0.8761064335060449,0.8636388169257341,0.829744170984456,0.895590457685665,0.9122139464594128,0.8950777202072538,0.8702458383860654,0.9254767941792525,0.9127714695182451,0.8493275272847536,0.9027119391467313,0.8282714143975306,0.8864237680520339,0.9038275795457682,0.8986119159974612,0.918757071501504,0.8940585589314789,0.9206336065347573,0.8899879542777113,0.02792318799293474,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
