,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_reg_alpha,param_silent,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,split15_train_score,split16_train_score,split17_train_score,split18_train_score,split19_train_score,mean_train_score,std_train_score
19,11.31394716501236,0.09030804731514656,0.04381664991378784,0.0007875666177013954,0.45,10,500,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.9043609671848014,0.9005289291882557,0.8879803540587219,0.8661215457685666,0.841321243523316,0.9000701640759932,0.907882664075993,0.8911377374784111,0.8575956344394224,0.9178976959541396,0.9205434902436336,0.8576783155109691,0.9040761768272517,0.8373801124462573,0.8884907948407011,0.907608245715705,0.9064216132682065,0.9120374203162513,0.9033584457874548,0.9190882247426663,0.891571429270975,0.024998858531735075,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,11.29951195716858,0.06752960444416907,0.04357103109359741,0.0003925172131273211,0.45,10,500,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.8999757124352331,0.9011226252158895,0.8772128670120899,0.8659056563039725,0.8378130397236615,0.9029306994818653,0.9101360103626943,0.8953205958549223,0.8589736522985337,0.9293076838275824,0.9161889538088414,0.8641412192702017,0.9105115202293022,0.8245369859993387,0.8886285966266122,0.9125203521262798,0.9004056627204239,0.9088500703700638,0.9020890250296659,0.9216546623616746,0.8914033850034169,0.027332628517095822,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,8.8793234705925,0.062206428734653034,0.04206228256225586,0.006760160594695386,0.45,8,500,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8901932210708118,0.9160729706390328,0.8840808506044905,0.8586193868739206,0.8334682642487047,0.8883311744386875,0.9147506476683938,0.8886550086355786,0.8679858890971227,0.9268272516811819,0.9198958218498511,0.8591390144416271,0.8986330062837614,0.8482251129974645,0.8820416712600595,0.9151971741590088,0.8983635510665894,0.904517482131523,0.891823274553633,0.9206887987416177,0.8903676934062377,0.02543893645013155,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,11.476396262645721,0.23977216151873648,0.04907417297363281,0.02313522030838812,0.45,10,500,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 500, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.9024179620034543,0.9032275474956822,0.8760389680483592,0.8607378022452503,0.8397830310880828,0.9003670120898101,0.9073024611398963,0.897317573402418,0.8569893065814133,0.9218939477455628,0.9191930327417044,0.8483353544261933,0.9092161834417374,0.8403152904861647,0.8880498291257856,0.9085465132323316,0.8986671082043216,0.901978640615945,0.9069735353368105,0.9191986091563871,0.8903202123726028,0.02607794707493737,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,10.166128289699554,0.10903180582430376,0.040244007110595705,0.0013392704808124635,0.45,9,500,0.015,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.015, 'silent': 1, 'subsample': 0.95}",0.8990177029360966,0.91010902417962,0.8715187823834197,0.8651770293609672,0.8257232297063902,0.900070164075993,0.9161539291882557,0.893971286701209,0.8574027119391467,0.9299415720427737,0.9209017748870025,0.8565207805093153,0.9022709734318157,0.8292911476132732,0.8843567412633667,0.9068355548196595,0.903386041890885,0.9102022794381434,0.9001572977895521,0.9213924993790876,0.8902120366386606,0.02910207959309481,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,10.140233981609345,0.07304582484364774,0.04094520807266235,0.001601190591034614,0.45,9,500,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8988692789291882,0.9097312176165803,0.8779145077720207,0.8678486614853196,0.8371923575129533,0.9083279360967185,0.9052515112262522,0.8915965025906736,0.8586842685481204,0.9297486495424981,0.9189174291698821,0.8670350567743358,0.9046411641494874,0.82616304707309,0.891109028773013,0.9068079587162292,0.8971217264122305,0.9041863288903607,0.8895879901757872,0.9132930430223252,0.8901962029013446,0.026227362146405715,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,21.535439264774322,0.1812492524846044,0.08675504922866821,0.008122855724295263,0.45,10,1000,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 1000, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.8999487262521588,0.8996383851468047,0.8829339378238342,0.8604004749568221,0.8423871977547496,0.8924060880829014,0.9046578151986182,0.8920552677029362,0.8551289824716127,0.9146180134494544,0.9232444052474921,0.8564380994377687,0.9074247602248925,0.8308069672582955,0.8897861316282659,0.9154455390898805,0.9047658470623948,0.905069404200127,0.907470265198554,0.917211689709413,0.890082999781803,0.02608479944215211,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,8.895845532417297,0.0389126094542846,0.04415804147720337,0.008135431539451725,0.45,8,500,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.900070164075993,0.9074373920552677,0.8771454015544041,0.8595369170984455,0.8280440414507771,0.895293609671848,0.9067897236614852,0.8920552677029361,0.8597453422996362,0.9298313306140447,0.920956895601367,0.8540127880057325,0.9061845441516923,0.8389648329842354,0.89317605556168,0.9131826586086045,0.900571239341005,0.9055109418550101,0.8886359246074454,0.9097055495763998,0.8893352514420297,0.02697876345886015,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,30.357103371620177,0.2213829950666284,0.12851136922836304,0.018204618461710554,0.45,10,1500,0.01,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 10, 'n_estimators': 1500, 'reg_alpha': 0.01, 'silent': 1, 'subsample': 0.95}",0.8996788644214163,0.899152633851468,0.8812742875647668,0.857755829015544,0.8403767271157168,0.8906115069084629,0.9028497409326425,0.889815414507772,0.8557353103296219,0.9173878293462683,0.9233822070334031,0.8536269430051813,0.9062810054018301,0.8273757027891082,0.8918807187741153,0.9168529403648205,0.9032480613737339,0.8999503270138256,0.9082981483014598,0.9177636117780169,0.8891556069197083,0.026981240493632437,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,17.618273770809175,0.12661697930239713,0.0850599765777588,0.01615688500853937,0.45,8,1000,0.005,1,0.95,"{'colsample_bytree': 0.45, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.005, 'silent': 1, 'subsample': 0.95}",0.8931077288428324,0.9141839378238342,0.8798170336787565,0.8589971934369602,0.8351414075993092,0.8839324265975821,0.9112964162348878,0.8897209628670121,0.8611922610517032,0.9209155550655936,0.9210946973872781,0.8562727372946753,0.8993495755704994,0.8366084224451549,0.8805258516150369,0.9178464000883075,0.8965560062919116,0.9038827717526285,0.8996329718243784,0.9211993266550763,0.88905513196164,0.02658742703775647,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
